2560, 0.7, 1280, 0.7, layer3, layer4, correct/90, accuracy, loss
2560, 0.7, 1280, 0.7, 100, 100, 53, 58.8888888889, 119.0
2560, 0.7, 1280, 0.7, 100, 100, 55, 61.1111111111, 108.0
2560, 0.7, 1280, 0.7, 100, 100, 51, 56.6666666667, 114.0
2560, 0.7, 1280, 0.7, 100, 400, 51, 56.6666666667, 119.0
2560, 0.7, 1280, 0.7, 100, 400, 49, 54.4444444444, 130.0
2560, 0.7, 1280, 0.7, 100, 400, 52, 57.7777777778, 128.0
2560, 0.7, 1280, 0.7, 100, 700, 53, 58.8888888889, 102.0
2560, 0.7, 1280, 0.7, 100, 700, 52, 57.7777777778, 117.0
2560, 0.7, 1280, 0.7, 100, 700, 47, 52.2222222222, 133.0
2560, 0.7, 1280, 0.7, 100, 1000, 51, 56.6666666667, 108.0
2560, 0.7, 1280, 0.7, 100, 1000, 52, 57.7777777778, 114.0
2560, 0.7, 1280, 0.7, 100, 1000, 52, 57.7777777778, 115.0
2560, 0.7, 1280, 0.7, 100, 1300, 54, 60.0, 113.0
2560, 0.7, 1280, 0.7, 100, 1300, 49, 54.4444444444, 140.0
2560, 0.7, 1280, 0.7, 100, 1300, 52, 57.7777777778, 126.0
2560, 0.7, 1280, 0.7, 100, 1600, 46, 51.1111111111, 136.0
2560, 0.7, 1280, 0.7, 100, 1600, 46, 51.1111111111, 141.0
2560, 0.7, 1280, 0.7, 100, 1600, 46, 51.1111111111, 139.0
2560, 0.7, 1280, 0.7, 100, 1900, 52, 57.7777777778, 113.0
2560, 0.7, 1280, 0.7, 100, 1900, 47, 52.2222222222, 141.0
2560, 0.7, 1280, 0.7, 100, 1900, 48, 53.3333333333, 136.0
2560, 0.7, 1280, 0.7, 400, 100, 50, 55.5555555556, 117.0
2560, 0.7, 1280, 0.7, 400, 100, 52, 57.7777777778, 118.0
2560, 0.7, 1280, 0.7, 400, 100, 56, 62.2222222222, 111.0
2560, 0.7, 1280, 0.7, 400, 400, 50, 55.5555555556, 119.0
2560, 0.7, 1280, 0.7, 400, 400, 57, 63.3333333333, 96.0
2560, 0.7, 1280, 0.7, 400, 400, 57, 63.3333333333, 99.0
2560, 0.7, 1280, 0.7, 400, 700, 50, 55.5555555556, 116.0
2560, 0.7, 1280, 0.7, 400, 700, 49, 54.4444444444, 119.0
2560, 0.7, 1280, 0.7, 400, 700, 46, 51.1111111111, 125.0
2560, 0.7, 1280, 0.7, 400, 1000, 51, 56.6666666667, 116.0
2560, 0.7, 1280, 0.7, 400, 1000, 55, 61.1111111111, 100.0
2560, 0.7, 1280, 0.7, 400, 1000, 52, 57.7777777778, 107.0
2560, 0.7, 1280, 0.7, 400, 1300, 47, 52.2222222222, 131.0
2560, 0.7, 1280, 0.7, 400, 1300, 47, 52.2222222222, 139.0
2560, 0.7, 1280, 0.7, 400, 1300, 45, 50.0, 148.0
2560, 0.7, 1280, 0.7, 400, 1600, 46, 51.1111111111, 138.0
2560, 0.7, 1280, 0.7, 400, 1600, 47, 52.2222222222, 144.0
2560, 0.7, 1280, 0.7, 400, 1600, 51, 56.6666666667, 130.0
2560, 0.7, 1280, 0.7, 400, 1900, 55, 61.1111111111, 110.0
2560, 0.7, 1280, 0.7, 400, 1900, 50, 55.5555555556, 142.0
2560, 0.7, 1280, 0.7, 400, 1900, 50, 55.5555555556, 129.0
2560, 0.7, 1280, 0.7, 700, 100, 53, 58.8888888889, 101.0
2560, 0.7, 1280, 0.7, 700, 100, 52, 57.7777777778, 113.0
2560, 0.7, 1280, 0.7, 700, 100, 49, 54.4444444444, 125.0
2560, 0.7, 1280, 0.7, 700, 400, 50, 55.5555555556, 102.0
2560, 0.7, 1280, 0.7, 700, 400, 48, 53.3333333333, 133.0
2560, 0.7, 1280, 0.7, 700, 400, 50, 55.5555555556, 116.0
