Layer1, Layer2, Layer3, Layer4, Layer5, Correct/90, Accuracy, Loss
3000, 100, 100, 100, 100, 57, 63.3333333333, 98.0
3000, 100, 100, 100, 100, 50, 55.5555555556, 106.0
3000, 100, 100, 100, 100, 52, 57.7777777778, 106.0
3000, 100, 100, 100, 600, 53, 58.8888888889, 105.0
3000, 100, 100, 100, 600, 53, 58.8888888889, 111.0
3000, 100, 100, 100, 600, 53, 58.8888888889, 107.0
3000, 100, 100, 100, 1100, 47, 52.2222222222, 138.0
3000, 100, 100, 100, 1100, 53, 58.8888888889, 100.0
3000, 100, 100, 100, 1100, 48, 53.3333333333, 116.0
3000, 100, 100, 100, 1600, 55, 61.1111111111, 108.0
3000, 100, 100, 100, 1600, 51, 56.6666666667, 118.0
3000, 100, 100, 100, 1600, 57, 63.3333333333, 101.0
3000, 100, 100, 100, 2100, 52, 57.7777777778, 109.0
3000, 100, 100, 100, 2100, 52, 57.7777777778, 96.0
3000, 100, 100, 100, 2100, 48, 53.3333333333, 124.0
3000, 100, 100, 100, 2600, 49, 54.4444444444, 125.0
3000, 100, 100, 100, 2600, 53, 58.8888888889, 110.0
3000, 100, 100, 100, 2600, 44, 48.8888888889, 142.0
3000, 100, 100, 100, 3100, 53, 58.8888888889, 97.0
3000, 100, 100, 100, 3100, 50, 55.5555555556, 115.0
3000, 100, 100, 100, 3100, 52, 57.7777777778, 106.0
3000, 100, 100, 100, 3600, 53, 58.8888888889, 120.0
3000, 100, 100, 100, 3600, 54, 60.0, 118.0
3000, 100, 100, 100, 3600, 55, 61.1111111111, 107.0
3000, 100, 100, 600, 100, 57, 63.3333333333, 101.0
3000, 100, 100, 600, 100, 55, 61.1111111111, 103.0
3000, 100, 100, 600, 100, 53, 58.8888888889, 129.0
3000, 100, 100, 600, 600, 49, 54.4444444444, 126.0
3000, 100, 100, 600, 600, 49, 54.4444444444, 119.0
3000, 100, 100, 600, 600, 47, 52.2222222222, 126.0
3000, 100, 100, 600, 1100, 51, 56.6666666667, 119.0
3000, 100, 100, 600, 1100, 47, 52.2222222222, 125.0
3000, 100, 100, 600, 1100, 50, 55.5555555556, 105.0
3000, 100, 100, 600, 1600, 51, 56.6666666667, 115.0
3000, 100, 100, 600, 1600, 50, 55.5555555556, 126.0
3000, 100, 100, 600, 1600, 54, 60.0, 128.0
3000, 100, 100, 600, 2100, 47, 52.2222222222, 152.0
